frame.time_epoch,ip.src,ip.dst,ip.len,icmp.type,udp.dstport,udp.length,tcp.flags.syn,tcp.flags.ack,tcp.dstport,tcp.seq,tcp.ack,ip.ttl,arp.src.proto_ipv4,arp.dst.proto_ipv4,arp.opcode
"1746182618.412713000","203.251.233.147","192.168.45.101","941",,,,"0","1","51862","1","440","54",,,
"1746182618.412755000","192.168.45.101","203.251.233.147","52",,,,"0","1","80","440","890","64",,,
"1746182618.422263000","192.168.45.101","34.36.137.203","68",,"443","48",,,,,,"64",,,
"1746182618.442694000","34.36.137.203","192.168.45.101","71",,"51848","51",,,,,,"53",,,
"1746182618.442696000","142.250.207.99","192.168.45.101","1155",,,,"0","1","39588","1","443","119",,,
"1746182618.442696000","142.250.207.99","192.168.45.101","1155",,,,"0","1","39596","1","443","119",,,
"1746182618.442721000","192.168.45.101","142.250.207.99","52",,,,"0","1","80","443","1104","64",,,
"1746182618.442802000","192.168.45.101","142.250.207.99","52",,,,"0","1","80","443","1104","64",,,
"1746182618.476787000","192.168.45.101","34.36.137.203","68",,"443","48",,,,,,"64",,,
"1746182618.492551000","34.36.137.203","192.168.45.101","71",,"51848","51",,,,,,"53",,,
"1746182618.517225000","192.168.45.101","34.36.137.203","161",,"443","141",,,,,,"64",,,
"1746182618.517411000","192.168.45.101","34.36.137.203","94",,"443","74",,,,,,"64",,,
"1746182618.517955000","192.168.45.101","34.36.137.203","411",,"443","391",,,,,,"64",,,
"1746182618.521803000","192.168.45.101","34.36.137.203","116",,,,"0","1","443","1901","4501","64",,,
"1746182618.526362000","192.168.45.101","34.36.137.203","144",,,,"0","1","443","1965","4501","64",,,
"1746182618.526922000","192.168.45.101","34.149.100.209","151",,,,"0","1","443","316","3511","64",,,
"1746182618.528376000","192.168.45.101","34.149.100.209","253",,,,"0","1","443","415","3511","64",,,
"1746182618.528659000","192.168.45.101","34.149.100.209","90",,,,"0","1","443","616","3511","64",,,
"1746182618.533465000","34.36.137.203","192.168.45.101","599",,"51848","579",,,,,,"53",,,
